audio,transcript
adapt_sample_0_clean,شوفلنا المشوار ده يا حج
adapt_sample_1_clean,لأ للأسف دكتوره واحده بس بتعمل العمليه ديت عندنا في المحافظه
adapt_sample_2_clean,والراجل تبصله يعني إبن زمنه
adapt_sample_3_clean,و أنت كيف عرفته أبترل يا عمي
adapt_sample_4_clean,ميعرفوش حاجه عن السوبر أه غير إنه لب
adapt_sample_5_clean,أه نمره اتنين يوم الجمعه بيجولنا البنات
adapt_sample_6_clean,خربت بيتنا يا وكلاهم
adapt_sample_7_clean,وبعدين واد ولا بت ما تفرقش المهم الربايه الزينه
adapt_sample_8_clean,واترمت طبعا
adapt_sample_9_clean,الله يبعد عنك ولاد الحرام
adapt_sample_10_clean,إنت تكبر يا خميس عشان ناكلك
adapt_sample_11_clean,بتحطها على وشها
adapt_sample_12_clean,أه عندهم طعم
adapt_sample_13_clean,مرحبا يا أستاذ
adapt_sample_14_clean,يعني لغاية دلوقتي جيل للستات ما زال فاعلا في الحياه
adapt_sample_15_clean,بعد الشر عليك يابا
adapt_sample_16_clean,سلام عليكم
adapt_sample_17_clean,هي هي خمسه وعشرين يناير دي مش كانت ثوره من الناس
adapt_sample_18_clean,عايزكم تعزقوا الفدان في يوم واحد
adapt_sample_19_clean,عشان يبقى خلصت ضميري
adapt_sample_20_clean,اللي طالع بيهم السما
adapt_sample_21_clean,إنسانيه عاليه وفيها قرب قولتلها على كل حال أمي هنا أصلي قالتلي أمك هنا نفسي أشوفها بقى قولتلها خلاص تعالي بكره اتغدي معانا و تعرفي فاطمه قنديل جت في وسط ما إحنا بنعمل إيه البريق بتاعها
adapt_sample_22_clean,أهلا وسهلا بخميس وجمعه
adapt_sample_23_clean,إنت الحمد لله إنك جيتني أنا الأول مروحتش لحد غيري لأن فعلا الخير ده مش أي حد يعني
adapt_sample_24_clean,علاقة من هؤلاء الذين غم واخد بالك اللي بي اللي بي
adapt_sample_25_clean,إحنا أهم حاجه نخليها تدبح الفروجه وأكلهم وآكلها أنا
adapt_sample_26_clean,يعني دلوقتي برضو في حاجه أنا عايز أتكلم عنها حاجه ضروريه أه دي في جميع المحافظات مش في الصعيد بس
adapt_sample_27_clean,هو في غير عمك اللي بيسمم بدني بحديثه الماسخ
adapt_sample_28_clean,والله انتي بنت أبوكي صح
adapt_sample_29_clean,صلتها بالحياه أه
adapt_sample_30_clean,سهرة كنا سهرانينها في الرحاب زمان و حد قاعد بيسجللي صوت أه و سجل قصيده إمسكي إمسكي لي في حفله لا و بص عشان برضو تبقي عارف الوشايه رايحه إزاي بص بقى
adapt_sample_31_clean,بقول إمتى يخلص
adapt_sample_32_clean,اسكت لوكلاهم تسمعك
adapt_sample_33_clean,ربتهم وصبرت وكافحت وممدتش إيدها لمخلوق و استحملت كل الذل و كل الغلب اللي في الدنيا و بعد كده طلعتهم وكبرتهم وجوزها طلع من السجن لقاهم متزوجين و كل المتعلمين هي دي الست الصعيديه أنا بالنسبالي هي دي ملكه جمال الصعيد
adapt_sample_34_clean,من هنا لحد هناك كان يحفر يجي عشره متر تحت الأرض
adapt_sample_35_clean,أن مصر محاصره بذئاب و كلاب من كل ناحيه
adapt_sample_36_clean,الحاجه التانيه بقى
adapt_sample_37_clean,إنت ناسي إن أنا بتي في اخر سنه كلية طب
adapt_sample_38_clean,أنا من الأقصر
adapt_sample_39_clean,طبعا أنت عارف يعني إحنا هنكرم الأقصر
adapt_sample_40_clean,إم إنت ضد مين أولا
adapt_sample_41_clean,قال كمان قال أنا كنت روحت كان عندي فقرات الرقبه رحت اتعالجت في يلتا على البحر الأسود ورجعت غيبت كتيره فجأه لقيت في تليفون من نهال قولتله إنت فين قولتلها أنا كنت في يلتا بقى قالتلي إنت فين قولتلها أنا كنت في يلتا ياما ما تقولش يعني حاجه زي كده قولتلها أنا كنت في
adapt_sample_42_clean,الديب بيفحت ويستعجل بيفحت ده السبع كبير مش بسيط يعني السبع ما يفتحش يعني في الأرض
adapt_sample_43_clean,مستني مين هنا
adapt_sample_44_clean,كلكم مبتقبلوش النصيحه
adapt_sample_45_clean,المهم قلتلها يا بوي مش هينفع
adapt_sample_46_clean,دي طبعا
adapt_sample_47_clean,تمام
adapt_sample_48_clean,إنت راجل باطل
adapt_sample_49_clean,ولا يقصد
adapt_sample_50_clean,حبيبي يا أستاذ وائل إزيك أنا عايز أقولك حاجه بس قبل ما تدخل في في الكلام اللي هتقوله اتفضل
adapt_sample_51_clean,فاكر إنت يعني هل لما انا اتجوزتها طبعا الدنيا اتقلبت
adapt_sample_52_clean,بيحب الأهلي أوي أوي
adapt_sample_53_clean,الإخوان المسلمين أه أنا بتكلم على مؤسسة الرئاسه اللي بتحكمني يعني الإخوان مش بيحكموني أما بقى الدواخل اللي جوه ماليش فيها لكن أنا بتكلم على الريس
adapt_sample_54_clean,دول تلات تجواز حمام
adapt_sample_55_clean,إنت تاخد تلاتين ألف
adapt_sample_56_clean,تمام
adapt_sample_57_clean,أدينا بنتكفر أي أي شخص معارض أصبح كافر ما هو ما هو أنت إزاي تقول لواحد انزل انزل أضرب ده أو انزل موته أو انزل مش عارف إيه إزاي ما أنت لازم تشحنه نفسيا ضده طب اشحنه بإيه بإنه كافر
adapt_sample_58_clean,دكتوره نصره منصور أشهر دكتوره في زراعة الكبد
adapt_sample_59_clean,لا ما ينفعش ما هو مادام ضارب انت مش صالح ليه ما ينفعش أقولك من سنة سبعتاشر الدم شغال في الصعيد
adapt_sample_60_clean,هو وحش
adapt_sample_61_clean,الله أكبر
