/
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_0_clean.wav	26112	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_0_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_100_clean.wav	26880	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_100_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_101_clean.wav	56448	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_101_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_102_clean.wav	553728	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_102_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_103_clean.wav	79104	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_103_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_104_clean.wav	16512	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_104_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_105_clean.wav	26112	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_105_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_106_clean.wav	43008	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_106_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_107_clean.wav	367872	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_107_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_108_clean.wav	46464	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_108_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_109_clean.wav	48384	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_109_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_10_clean.wav	50688	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_10_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_110_clean.wav	31104	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_110_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_111_clean.wav	36480	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_111_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_112_clean.wav	84480	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_112_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_113_clean.wav	116352	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_113_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_114_clean.wav	81408	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_114_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_115_clean.wav	22656	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_115_clean.wav.npy
D:\GitHub\ASR_for_egyptian_dialect\data\adapt\adapt_sample_116_clean.wav	81408	D:\GitHub\ASR_for_egyptian_dialect\data\speaker_embedding\adapt\adapt_sample_116_clean.wav.npy
