audio,transcript
aac6c65c6eac1620,ليه ما جيتش العزومة امبارح
f9b89d3308fab387,مين اللي ضرب الجرس
0f577c53ac06e16e,لما الناس خرجت في 25 يناير كانوا بيدوروا على حقوقهم وكرامتهم وحياة أفضل
a9f7186892dde095,الولد قوي
c73fce8449919337,اشتريت حذاء جديد مبارح
56fba022186e470f,البحر عميق
95cadf8d91723c41,لازم نزور عمتي في المستشفى بكره
bbfd4970709616db,الزرع جميل
c5907c4ad4347901,الغداء كان لذيذ
8c41f33b9a109f2e,بعد العشاء بنحب نجتمع كعائلة ونتفرج على التلفزيون سوا
ed33b55ce861f5e8,العيش ده طري أوي
c264370914f1e82c,شفت الفيديو اللي بعتته لك كان مضحك جدا
b8881b708d40b657,الجو مشمس النهاردة فرصة كويسة للخروج والتنزه
571075d6c5159d19,السماء صافية اليوم
0d20b4b36d557561,لو جمعنا كل الدول دي تحت راية واحدة ممكن نحقق حاجات كبيرة مع بعض
e199840de8f54d23,البطيخة حمراء
3d8260373c4d4dbb,أختي جاية تزورنا بكرة هنخرج نتمشى في الحديقة وناكل آيس كريم
79e94ab0ea1312bf,وجعي هو وجع الناس اللي كانوا محرومين من حقوقهم وعايزين حياة كريمة ومستقبل أفضل
ac0ffc684a52f266,الكوب ممتلئ
7a47ca406f46872e,الكتاب مدهش
2ab341a7691fbd11,النهارده عيد ميلادي هنحتفل في البيت
7542e8e9cd3cdece,تحب تتفرج على المسلسل ده
f7103083baf6854f,الكتاب ثقافي
642d02e08f694fd5,الجو في الساحل الشمالي حلو جدا
e233bc8dad0603f5,أنا بتكلم عن رئيس الجمهورية اللي الشعب اختاره ولازم يخدمه بجد
d6f3417eb5846b66,لازم أروح السوق بكرة
545ec32c4111b143,الجو برد أوي في الشتاء
56aba800ae49e4cd,البنت دي شاطرة في الرسم
53c87a55fcef7df7,كنت بفتكر أيام المدرسة وإحنا كنا بنلعب كرة القدم في الفسحة
19f181736613ca5a,الكتاب مفيد
51d47896f92c2a44,الجو النهارده رطب أوي
eb8050efa0c6cdc5,جبتلك الهدية دي من السوق شفتها وفكرت إنها هتعجبك
40dfb2ec90388601,محتاج أشتري حاجات من السوبرماركت
317632e46fc42137,الجمهوريات ليها طريقة والممالك ليها طريقة وكل واحد يدير شغله
440af2dd8957c15f,لازم نروح نزور الحديقة قريب
185d6a1c169623bd,هات لي كوباية شاي بالنعناع بعد الأكل بحس إنها بتساعد على الهضم
1d46df6164e68a44,الإخوان المسلمين كانوا بيحاولوا ياخدوا السلطة لكن الشعب كان عنده رأي تاني
3b679e7c0d448f64,التلفزيون مش شغال
30b3d2ecf7a1c2f6,عايز أكل حاجة سريعة
cc2d8555c4a2ab51,وجعي هو وجع الناس اللي كانوا محرومين من حقوقهم
0ade4220d607b8cb,والله يا بتاع النهاردة العدالة الاجتماعية هي الحل
331ebd4077c8964a,ثورة اليمن كانت شرارة الحرية اللي نورت الشرق الأوسط وخليت الشعوب تتحرك
222770b7c037bf92,شوف اللي حصل في المباراة امبارح
be1f0a724396fae7,ثورة اليمن كانت أكبر دليل على إن الشعوب ما بتستسلمش بسهولة
14a8909d88ef1469,لما نرجع البيت هنعمل إيه
ca7094e2ac681c5d,البساط نظيف
1a7d75faa63e0d81,عندنا ضيوف الليلة
7fba49655bd9afd6,ماما عملت لنا أكلات لذيذة جدا
8d183b3cfdf9283f,الثورة علمت ولادنا إن مفيش حاجة بتيجي بالساهل الحرية لازم تتاخد
5bd6aa7a0012a54f,التلفون فصل شحن
7ee1e911ad04ff8d,جبت فاكهة طازة من السوق لازم تجربها طعمها لذيذ جدا
5adf2a0a2a8972b0,هنروح الحديقة امتى
8758b350a5455aa9,لو الدول العربية اتحدت ممكن نواجه التحديات الكبيرة مع بعض ونحقق مستقبل أفضل
c9a335d1d81b08da,البيت كبير
8e4bc3d575df65fd,أنا مشغول جدا اليومين الجايين
82d86ff9f17acd39,ابنك لما يكبر هيعرف إن الثورة هي الطريق للحرية والكرامة
3371499294901987,بكرة عندنا مناسبة عائلية هنجهز الأكل ونستقبل الضيوف
dd5877cc30335f2b,الثورة هي اللي علمت ولادنا إن مفيش حاجة بتيجي بالساهل
b5d082f3836f6a74,الأكلة دي كانت لذيذة ربنا يباركلك
0382024477bfdc55,ممكن تساعدني في حل الواجب المسائل دي صعبة شوية
db18e8c82e5ff445,نروح النادي بعد الشغل
a8b4e26674d3c14a,لو الدول العربية اتحدت ممكن نحقق مستقبل أفضل ونواجه التحديات الكبيرة مع بعض
e84dd9906f6c04ce,ليه دايما بتحب تطبخ الوصفات الصعبة دي
2a13580b53768a69,الكتاب مثقف
e625eaf6fe33edb7,كنت بفكر أعمل حاجة جديدة
87900301de5c49aa,لازم أروح البنك بكرة
2ba303925fd36b3d,اشتريت هدية عيد ميلاد لأختي
f604cffe5dd01edd,الحديقة محتاجة تتنظف
7ea81b405dd86c71,الشنطة دي وزنها تقيل
befcfb539cd965ac,البحر مدهش
515301cd97a3cd34,رئيس الجمهورية اللي مش بيخدم الشعب لازم يمشي
9f15d3fb46fec6e7,الطفلة مبتسمة
6ae876fab64f7d3c,السوق كان زحمة النهاردة
